Metabolite,PRESS_Con_0mM_35,PRESS_SD_0mM_35,PRESS_Ratio_0mM_35,PRESS_Con_1mM_35,PRESS_SD_1mM_35,PRESS_Ratio_1mM_35,PRESS_Con_2mM_35,PRESS_SD_2mM_35,PRESS_Ratio_2mM_35,PRESS_Con_4mM_35,PRESS_SD_4mM_35,PRESS_Ratio_4mM_35,PRESS_Con_8mM_35,PRESS_SD_8mM_35,PRESS_Ratio_8mM_35,PRESS_Con_0mM_78,PRESS_SD_0mM_78,PRESS_Ratio_0mM_78,PRESS_Con_1mM_78,PRESS_SD_1mM_78,PRESS_Ratio_1mM_78,PRESS_Con_2mM_78,PRESS_SD_2mM_78,PRESS_Ratio_2mM_78,PRESS_Con_4mM_78,PRESS_SD_4mM_78,PRESS_Ratio_4mM_78,PRESS_Con_8mM_78,PRESS_SD_8mM_78,PRESS_Ratio_8mM_78,PRESS_Con_0mM_97,PRESS_SD_0mM_97,PRESS_Ratio_0mM_97,PRESS_Con_1mM_97,PRESS_SD_1mM_97,PRESS_Ratio_1mM_97,PRESS_Con_2mM_97,PRESS_SD_2mM_97,PRESS_Ratio_2mM_97,PRESS_Con_4mM_97,PRESS_SD_4mM_97,PRESS_Ratio_4mM_97,PRESS_Con_8mM_97,PRESS_SD_8mM_97,PRESS_Ratio_8mM_97,PRESS_Con_0mM_144,PRESS_SD_0mM_144,PRESS_Ratio_0mM_144,PRESS_Con_1mM_144,PRESS_SD_1mM_144,PRESS_Ratio_1mM_144,PRESS_Con_2mM_144,PRESS_SD_2mM_144,PRESS_Ratio_2mM_144,PRESS_Con_4mM_144,PRESS_SD_4mM_144,PRESS_Ratio_4mM_144,PRESS_Con_8mM_144,PRESS_SD_8mM_144,PRESS_Ratio_8mM_144,PRESS_Con_0mM_288,PRESS_SD_0mM_288,PRESS_Ratio_0mM_288,PRESS_Con_1mM_288,PRESS_SD_1mM_288,PRESS_Ratio_1mM_288,PRESS_Con_2mM_288,PRESS_SD_2mM_288,PRESS_Ratio_2mM_288,PRESS_Con_4mM_288,PRESS_SD_4mM_288,PRESS_Ratio_4mM_288,PRESS_Con_8mM_288,PRESS_SD_8mM_288,PRESS_Ratio_8mM_288,STEAM_Con_0mM_6,STEAM_SD_0mM_6,STEAM_Ratio_0mM_6,STEAM_Con_1mM_6,STEAM_SD_1mM_6,STEAM_Ratio_1mM_6,STEAM_Con_2mM_6,STEAM_SD_2mM_6,STEAM_Ratio_2mM_6,STEAM_Con_4mM_6,STEAM_SD_4mM_6,STEAM_Ratio_4mM_6,STEAM_Con_8mM_6,STEAM_SD_8mM_6,STEAM_Ratio_8mM_6,STEAM_Con_0mM_35,STEAM_SD_0mM_35,STEAM_Ratio_0mM_35,STEAM_Con_1mM_35,STEAM_SD_1mM_35,STEAM_Ratio_1mM_35,STEAM_Con_2mM_35,STEAM_SD_2mM_35,STEAM_Ratio_2mM_35,STEAM_Con_4mM_35,STEAM_SD_4mM_35,STEAM_Ratio_4mM_35,STEAM_Con_8mM_35,STEAM_SD_8mM_35,STEAM_Ratio_8mM_35,STEAM_Con_0mM_78,STEAM_SD_0mM_78,STEAM_Ratio_0mM_78,STEAM_Con_1mM_78,STEAM_SD_1mM_78,STEAM_Ratio_1mM_78,STEAM_Con_2mM_78,STEAM_SD_2mM_78,STEAM_Ratio_2mM_78,STEAM_Con_4mM_78,STEAM_SD_4mM_78,STEAM_Ratio_4mM_78,STEAM_Con_8mM_78,STEAM_SD_8mM_78,STEAM_Ratio_8mM_78,STEAM_Con_0mM_97,STEAM_SD_0mM_97,STEAM_Ratio_0mM_97,STEAM_Con_1mM_97,STEAM_SD_1mM_97,STEAM_Ratio_1mM_97,STEAM_Con_2mM_97,STEAM_SD_2mM_97,STEAM_Ratio_2mM_97,STEAM_Con_4mM_97,STEAM_SD_4mM_97,STEAM_Ratio_4mM_97,STEAM_Con_8mM_97,STEAM_SD_8mM_97,STEAM_Ratio_8mM_97
2HG,13.587,28,0.525,2.824,17,1.836,0,999,0,0,999,0,5.961,20,0.603,0,999,0,0.234,113,0.099,0.488,80,0.077,0,999,0,1.987,24,0.259,0.792,85,0.052,0.138,359,0.011,0.902,98,0.037,3.962,33,0.136,5.211,17,0.205,13.62,8,0.957,0,999,0,17.396,7,0.961,20.012,9,0.869,17.858,7,0.867,1.563,35,0.159,0,999,0,0,999,0,3.783,24,0.215,0,999,0,0,999,0,0,999,0,0.32,19,0.453,10.756,16,0.328,16.608,5,0.777,8.134,13,0.509,0,999,0,8.8,12,0.521,20.716,9,0.775,16.246,5,1.01,29.951,16,2.068,13.583,20,2.197,48.174,9,2.496,51.997,15,2.08,56.141,9,2.928,7.199,38,0.571,0,999,0,45.472,7,3.061,58.345,9,2.659,45.519,7,3.234
Cysta,7.162,22,0.277,0.242,96,0.158,1.252,34,0.155,1.252,34,0.155,4.054,13,0.43,1.102,61,0.065,0.0642,225,0.027,0.559,39,0.082,3.87,33,0.122,0.659,40,0.082,2.397,17,0.158,1.089,27,0.087,2.247,22,0.093,5.5,14,0.188,3.511,14,0.138,3.469,14,0.244,1.663,22,0.166,2.906,17,0.161,5.683,13,0.247,5.153,11,0.25,0.71,56,0.072,0.848,35,0.128,1.064,37,0.085,1.117,61,0.063,2.524,20,0.177,3.355,16,0.19,2.519,14,0.278,0.468,8,0.663,10.951,10,0.334,11.904,5,0.557,6.244,11,0.391,9.364,10,0,5.924,10,0.35,13.645,8,0.51,10.957,5,0.681,0,999,0,0,999,0,18.452,13,0.956,0,999,0,22.327,13,1.164,7.327,25,0.582,0,999,0,6.831,26,0.46,14.369,19,0.655,7.273,23,0.517
NAAG,6.541,11,0.253,0.391,17,0.254,1.764,10,0.219,1.764,10,0.219,2.3,8,0.244,2.122,18,0.125,0.221,40,0.093,0.893,15,0.141,4.153,17,0.131,0.797,23,0.104,2.516,13,0.165,0.695,40,0.056,3.401,12,0.141,4.465,14,0.153,2.323,22,0.092,2.19,12,0.154,1.939,10,0.194,2.605,10,0.144,3.912,11,0.17,3.729,9,0.181,2.119,7,0.215,1.432,8,0.216,1.858,8,0.148,3.725,7,0.211,2.144,10,0.15,3.945,14,0.224,1.248,26,0.138,0.122,23,0.173,5.964,18,0.182,3.544,19,0.166,3.464,13,0.217,0,999,0,3.681,9,0.218,5.731,12,0.214,4.448,6,0.276,2.845,15,0.196,1.333,17,0.216,1.918,29,0.099,4.914,14,0.197,2.694,21,0.14,2.448,13,0.194,1.167,14,0.211,4.598,7,0.31,5.731,8,0.261,4.539,7,0.323
NAA,23.362,3,0.903,1.564,4,1.017,7.8,3,0.967,7.8,3,0.967,10.972,2,1.163,15.16,3,0.894,2.793,3,1.175,6.104,2,0.962,28.782,3,0.906,8.719,2,1.136,13.65,3,0.897,10.373,4,0.832,20.127,3,0.834,26.511,3,0.907,23.192,3,0.911,12.128,2,0.852,9.115,2,0.91,14.464,2,0.799,20.318,2,0.882,18.677,2,0.907,7.86,2,0.798,6.355,2,0.959,9.78,2,0.78,14.983,2,0.85,12.94,2,0.906,19.746,3,1.12,10.57,3,1.167,0.772,4,1.093,37.209,3,1.136,25.139,3,1.175,16.653,2,1.042,12.944,3,0,17.511,2,1.036,27.447,2,1.027,17.293,2,1.075,14.272,3,0.985,6.522,3,1.055,17.826,3,0.924,24.498,3,0.98,18.759,3,0.978,11.638,3,0.924,5.764,3,1.044,14.473,3,0.974,20.793,2,0.948,14.365,3,1.021
Gln,8.692,32,0.336,0.59,45,0.384,2.611,30,0.324,2.611,30,0.324,2.785,33,0.295,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,9999,0,4.12,13,0.289,2.61,16,0.261,4.242,14,0.234,6.052,16,0.263,4.39,16,0.213,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,6.745,9,0.383,3.549,11,0.392,0.0271,147,0.038,8.128,16,0.248,7,9,0.327,8.954,10,0.56,0,999,0,9.336,9,0.552,13.148,12,0.492,8.664,8,0.538,0.177,889,0.012,1.569,41,0.254,1.574,99,0.082,3.667,71,0.147,1.541,96,0.08,0,999,0,0,999,0,0.154,530,0.01,1.086,137,0.05,0,999,0
Glu,30.665,10,1.185,2.267,13,1.474,9.156,9,1.135,9.156,9,1.135,13.05,8,1.384,4.082,16,0.241,0.851,16,0.358,1.754,12,0.277,8.022,15,0.253,2.401,11,0.313,4.634,9,0.305,3.463,9,0.278,6.577,8,0.273,9.803,8,0.335,7,8,0.275,1.842,27,0.129,2.657,15,0.265,3.865,15,0.214,4.097,20,0.178,6.086,11,0.295,2.625,20,0.266,2.788,15,0.421,2.321,23,0.185,3.465,25,0.197,4.255,17,0.298,17.579,4,0.997,9.481,5,1.047,0.853,6,1.208,34.151,4,1.043,23.058,3,1.078,22.129,3,1.385,0,999,0,22.148,3,1.31,35.78,4,1.338,20.452,3,1.271,0,999,0,1.608,73,0.26,0.467,623,0.024,1.631,283,0.065,0,999,0,3.344,54,0.265,2.985,26,0.541,14.102,13,0.949,16.026,20,0.73,17.098,10,1.215
Lac,10.788,10,0.417,1.028,15,0.668,4.016,9,0.498,4.016,9,0.498,6.562,6,0.696,3.984,9,0.235,0.584,13,0.246,1.606,8,0.253,8.047,9,0.253,1.801,8,0.235,3.738,7,0.246,2.5,8,0.201,5.813,6,0.241,7.947,6,0.272,5.557,6,0.218,3.677,6,0.258,2.264,7,0.226,4.83,5,0.267,6.539,6,0.284,4.88,5,0.237,2.534,6,0.257,2.104,5,0.317,3.484,4,0.278,4.935,5,0.28,5.208,4,0.365,7.727,7,0.438,4.043,8,0.447,0.417,7,0.591,14.091,7,0.43,9.649,6,0.451,4.869,8,0.305,0,999,0,5.352,6,0.317,8.283,7,0.31,5.171,5,0.321,2.227,21,0.154,1.656,20,0.268,3.012,15,0.156,4.462,18,0.178,2.864,23,0.149,0.833,56,0.066,1.276,27,0.231,1.015,46,0.068,2.172,34,0.099,1.449,35,0.103
Gly,0.0387,999,0.0015,0.0192,341,0.012,0,999,0,0,999,0,1.538,11,0.163,3.593,11,0.212,0.453,19,0.191,0.972,12,0.153,6.143,11,0.193,1.121,13,0.146,1.92,18,0.126,1.646,17,0.132,2.193,21,0.091,3.731,17,0.128,2.682,17,0.102,0.732,40,0.051,0.463,45,0.046,1.247,25,0.069,1.299,36,0.056,1.198,29,0.058,1.083,17,0.11,0.554,26,0.084,1.286,15,0.103,1.798,17,0.102,1.288,19,0.092,4.053,14,0.23,1.812,16,0.2,0.117,28,0.166,7.904,14,0.241,6.544,9,0.306,3.144,11,0.197,20.805,6,0,2.764,11,0.164,4.847,11,0.181,3.422,7,0.213,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0.592,44,0.04,1.305,33,0.059,0.795,30,0.057
Cho,7.116,3,0.275,0.392,5,0.255,2.043,2,0.253,2.043,2,0.253,2.335,2,0.248,5.05,2,0.298,0.667,3,0.281,1.79,2,0.282,9.258,2,0.291,2.11,2,0.257,4.644,2,0.305,3.456,2,0.277,6.986,2,0.29,8.675,2,0.297,7.235,2,0.284,4.201,2,0.295,2.984,2,0.298,5.291,2,0.292,6.688,2,0.29,6.015,2,0.292,3.23,2,0.328,2.164,2,0.326,4.114,2,0.328,5.714,2,0.324,4.638,2,0.325,4.69,3,0.266,2.343,3,0.259,0.153,5,0.217,8.494,3,0.259,5.356,3,0.25,4.443,2,0.278,0,999,0,4.61,2,0.273,7.212,2,0.27,4.297,2,0.267,4.216,3,0.291,1.745,3,0.282,4.95,2,0.256,7.106,2,0.284,4.84,2,0.252,3.607,2,0.286,1.489,2,0.27,4.261,2,0.287,6.118,2,0.279,3.947,2,0.28
Cr,25.871,2,1,1.538,4,1,8.066,2,1,8.066,2,1,9.432,2,1,16.956,2,1,2.376,3,1,6.342,2,1,31.762,2,1,7.674,2,1,15.211,2,1,12.462,2,1,24.124,2,1,29.226,2,1,25.451,2,1,14.231,2,1,10.014,2,1,18.099,2,1,23.033,2,1,20.597,2,1,9.851,2,1,6.628,2,1,12.537,2,1,17.63,2,1,14.276,2,1,17.623,3,1,9.054,3,1,0.706,4,1,32.758,3,1,21.387,2,1,15.977,2,1,0,999,0,16.904,2,1,26.736,2,1,16.09,1,1,14.486,3,1,6.182,3,1,19.301,2,1,25.003,2,1,19.177,2,1,12.601,2,1,5.522,2,1,14.857,2,1,21.941,2,1,14.073,2,1
