PPM_0,mag_0,PPM_8,mag_8,PPM_4,mag_4,PPM_2,mag_2,PPM_1,mag_1
11.4881,21375.3,11.498,5833.35,11.4881,178311,11.481,43358.5,11.4566,21388.9
11.4816,21248.9,11.4915,5281.12,11.4816,175598,11.4745,41620.1,11.4501,19312.8
11.4751,20638.7,11.485,5272.55,11.4751,173488,11.468,41016.6,11.4436,18703.2
11.4686,20336.2,11.4785,4074.59,11.4686,171295,11.4615,40250.4,11.4371,17373.6
11.4621,20382.2,11.472,5152.06,11.4621,169214,11.455,38407.9,11.4306,18068.6
11.4556,19091.7,11.4655,5111.41,11.4556,167489,11.4484,37532.5,11.4241,18294.4
11.4491,19966.4,11.459,5695.2,11.4491,165809,11.4419,37292.5,11.4175,18341.3
11.4426,19785.6,11.4525,5580.31,11.4426,164074,11.4354,36705.6,11.411,18607.1
11.4361,18606.5,11.446,4995.39,11.4361,162928,11.4289,34767.4,11.4045,17403.2
11.4296,18659.1,11.4395,3188.8,11.4296,161765,11.4224,34316.3,11.398,18641.7
11.4231,19930.7,11.433,5031.33,11.4231,160891,11.4159,35347.7,11.3915,17674
11.4166,18754.9,11.4264,4800.86,11.4166,160431,11.4094,33154.5,11.385,18903.1
11.41,19831.5,11.4199,6039,11.41,160574,11.4029,32526.9,11.3785,16440.7
11.4035,18360.3,11.4134,3329.15,11.4035,158902,11.3964,32756,11.372,16584.1
11.397,19251.8,11.4069,3866.48,11.397,158437,11.3899,32648.6,11.3655,17074.5
11.3905,18153.2,11.4004,4439.67,11.3905,156372,11.3834,32072.5,11.359,16192.9
11.384,18065.5,11.3939,4375.79,11.384,156945,11.3769,30774.9,11.3525,17697.7
11.3775,17917.5,11.3874,5211.69,11.3775,155919,11.3704,31327.4,11.346,15000.9
11.371,17650.1,11.3809,5275.65,11.371,154914,11.3639,32619.9,11.3395,16846.8
11.3645,17963.3,11.3744,3522.12,11.3645,153002,11.3574,29556.8,11.333,16763.5
11.358,18584.3,11.3679,4837.99,11.358,153584,11.3508,30052.3,11.3265,14262.7
11.3515,17485.9,11.3614,4173.67,11.3515,153664,11.3443,29224.2,11.3199,14314.1
11.345,18834,11.3549,3782.72,11.345,151255,11.3378,28690.7,11.3134,15808
11.3385,15778.9,11.3484,4898.77,11.3385,151654,11.3313,29554.8,11.3069,15269.1
11.332,16188.1,11.3419,6164.79,11.332,151792,11.3248,28133.4,11.3004,12311.8
11.3255,17694.4,11.3354,2929.86,11.3255,151798,11.3183,27566.1,11.2939,14226.1
11.319,19033,11.3288,4667.28,11.319,149974,11.3118,28894.6,11.2874,14336.7
11.3124,17341,11.3223,4678.18,11.3124,149794,11.3053,28404.5,11.2809,13580.2
11.3059,18654.9,11.3158,3770.65,11.3059,149118,11.2988,28557.5,11.2744,13174.1
11.2994,18862.8,11.3093,6096.92,11.2994,149261,11.2923,28431.4,11.2679,11485.3
11.2929,18100.8,11.3028,4909.85,11.2929,149726,11.2858,27202.1,11.2614,13149.4
11.2864,15388.1,11.2963,4206.93,11.2864,149052,11.2793,28599,11.2549,12776.8
11.2799,18322.4,11.2898,6410.3,11.2799,148596,11.2728,26966.5,11.2484,13270.8
11.2734,15414.8,11.2833,4061.11,11.2734,147942,11.2663,26882.3,11.2419,12622.7
11.2669,16616.3,11.2768,5348.83,11.2669,146857,11.2597,29048.7,11.2354,11744.5
11.2604,16186.5,11.2703,3409.03,11.2604,146631,11.2532,27236.3,11.2288,12163.9
11.2539,17268.2,11.2638,4359.28,11.2539,145455,11.2467,27862.7,11.2223,11610.2
11.2474,16563.3,11.2573,4844.74,11.2474,145381,11.2402,25734.5,11.2158,12640
11.2409,16007.1,11.2508,3027.92,11.2409,143347,11.2337,29525,11.2093,11142
11.2344,16639.5,11.2443,3898.11,11.2344,145845,11.2272,26198.3,11.2028,9295.59
11.2279,16416.8,11.2377,4193.47,11.2279,144849,11.2207,26014.8,11.1963,12361
11.2214,17090.2,11.2312,2771.29,11.2214,144620,11.2142,26681.6,11.1898,9929.83
11.2148,15909,11.2247,3620.66,11.2148,145948,11.2077,25663.5,11.1833,11240.5
11.2083,15894,11.2182,5186.58,11.2083,145244,11.2012,25900.3,11.1768,11894.2
11.2018,14410.2,11.2117,3312.31,11.2018,142840,11.1947,26645.7,11.1703,11139.6
11.1953,18063,11.2052,4140.61,11.1953,144725,11.1882,25893.2,11.1638,10339.9
11.1888,14986.6,11.1987,4874.33,11.1888,143471,11.1817,23426.3,11.1573,9982.52
11.1823,14919.6,11.1922,3724.42,11.1823,143618,11.1752,24432.6,11.1508,9424.9
11.1758,13726.7,11.1857,4786.77,11.1758,141682,11.1686,25503.8,11.1443,8880.47
11.1693,14435,11.1792,4037.41,11.1693,143749,11.1621,23644,11.1378,9024.86
11.1628,14940.6,11.1727,3913.9,11.1628,143078,11.1556,25969.3,11.1312,9658.38
11.1563,15970,11.1662,2876.72,11.1563,139552,11.1491,24025,11.1247,8218.27
11.1498,15990.4,11.1597,5577.99,11.1498,141102,11.1426,23947.5,11.1182,9729.18
11.1433,16315.3,11.1532,4076.52,11.1433,140916,11.1361,23520.2,11.1117,7968.13
11.1368,17291.3,11.1467,5188.31,11.1368,142128,11.1296,23139.4,11.1052,8903.66
11.1303,15967.8,11.1401,5189.04,11.1303,140449,11.1231,23041.7,11.0987,7595.8
11.1237,15196.8,11.1336,5080.94,11.1237,141478,11.1166,23879,11.0922,8614.93
11.1172,15128,11.1271,4048.74,11.1172,140813,11.1101,23042.2,11.0857,7489.7
11.1107,16124.8,11.1206,4067.48,11.1107,140211,11.1036,24866,11.0792,6884.51
11.1042,16846.7,11.1141,3692.07,11.1042,139162,11.0971,22690.8,11.0727,8528.02
11.0977,12348.6,11.1076,3734.95,11.0977,138691,11.0906,22157,11.0662,7570.96
11.0912,15098.5,11.1011,4038.34,11.0912,139103,11.0841,23731.8,11.0597,7818.12
11.0847,16035.7,11.0946,3534.98,11.0847,139272,11.0776,22262.1,11.0532,9015.06
11.0782,15154.5,11.0881,5024.46,11.0782,138999,11.071,24304.6,11.0467,7376.45
11.0717,16052.9,11.0816,4118.37,11.0717,137894,11.0645,23384.8,11.0401,7417.28
11.0652,15793,11.0751,3740.62,11.0652,138200,11.058,22187.9,11.0336,8176.26
11.0587,15295.6,11.0686,5621.88,11.0587,138531,11.0515,23895,11.0271,7844.33
11.0522,14097,11.0621,4337.98,11.0522,136830,11.045,23789.2,11.0206,6092.06
11.0457,12797.4,11.0556,4621.63,11.0457,136929,11.0385,22878,11.0141,8804.64
11.0392,14335.1,11.049,5490.71,11.0392,137508,11.032,23596.2,11.0076,5058.29
11.0327,15570,11.0425,4388.08,11.0327,136955,11.0255,23419.9,11.0011,7634.55
11.0261,14327.9,11.036,4079.52,11.0261,137529,11.019,21376,10.9946,7668.42
11.0196,14054.6,11.0295,6237.68,11.0196,136316,11.0125,22427.3,10.9881,8309.54
11.0131,13391.3,11.023,3645.4,11.0131,137539,11.006,20690.9,10.9816,7245.96
11.0066,13943.7,11.0165,5397.88,11.0066,137700,10.9995,21531.3,10.9751,5803.26
11.0001,13455.3,11.01,2795.97,11.0001,136432,10.993,21708.6,10.9686,5882.72
10.9936,13547.1,11.0035,3911.33,10.9936,135538,10.9865,20865.6,10.9621,5225.94
10.9871,16541.3,10.997,4177.87,10.9871,134916,10.9799,21597.2,10.9556,6816.7
10.9806,14871.1,10.9905,3243.16,10.9806,138517,10.9734,21103.9,10.949,6662.73
10.9741,14704.3,10.984,3841.18,10.9741,136265,10.9669,21461.1,10.9425,5292.34
10.9676,14076.1,10.9775,5756.34,10.9676,135288,10.9604,22289.2,10.936,6268.87
10.9611,13494.2,10.971,4590.24,10.9611,134893,10.9539,20875.7,10.9295,6077.76
10.9546,14226.4,10.9645,5381,10.9546,135303,10.9474,23375.4,10.923,6236.03
10.9481,13389.7,10.958,4330.66,10.9481,135231,10.9409,21596.3,10.9165,4669.63
10.9416,13388,10.9514,3963.08,10.9416,134776,10.9344,21479.2,10.91,7738.43
10.9351,12326.3,10.9449,3898.05,10.9351,133805,10.9279,20869.4,10.9035,5755.15
10.9285,15632.9,10.9384,4708.56,10.9285,133990,10.9214,19336.7,10.897,4768.82
10.922,15277.5,10.9319,4833.63,10.922,134005,10.9149,21740.2,10.8905,6115.99
10.9155,16434.8,10.9254,4965.68,10.9155,134929,10.9084,21329.8,10.884,5962.61
10.909,13223.1,10.9189,3814.66,10.909,133956,10.9019,19955.4,10.8775,4914.59
10.9025,14565.5,10.9124,3310.59,10.9025,131961,10.8954,20806.9,10.871,4547.99
10.896,13006.8,10.9059,4497.52,10.896,133757,10.8889,21675.3,10.8645,5750.64
10.8895,12614.4,10.8994,3405.13,10.8895,133457,10.8823,21100.8,10.858,4258.25
10.883,12935.5,10.8929,3310.84,10.883,132700,10.8758,19974.5,10.8514,4007.73
10.8765,12557.6,10.8864,3608.74,10.8765,132999,10.8693,19924.8,10.8449,5167.39
10.87,12687.3,10.8799,3666.89,10.87,131732,10.8628,20988.8,10.8384,5922.82
10.8635,13283.6,10.8734,4830.26,10.8635,131629,10.8563,20769.6,10.8319,6121.17
10.857,11323.6,10.8669,3640.54,10.857,133214,10.8498,20985.5,10.8254,4848.97
10.8505,12885.9,10.8603,3016.42,10.8505,130910,10.8433,18394.8,10.8189,6593.41
10.844,13826.4,10.8538,3556.84,10.844,132788,10.8368,19344.1,10.8124,4048.93
10.8375,13991.4,10.8473,3472.48,10.8375,131367,10.8303,20114.7,10.8059,3604.17
10.8309,13251.4,10.8408,4056.32,10.8309,130991,10.8238,18911,10.7994,4195.09
10.8244,14610.1,10.8343,3647.84,10.8244,130709,10.8173,20390.3,10.7929,4690
