PPM_0,mag_0,PPM_8,mag_8,PPM_4,mag_4,PPM_2,mag_2,PPM_1,mag_1
11.506,467656,11.5192,249816,11.4889,67880.1,11.5029,45833.1,11.5029,45833.1
11.4995,458479,11.5127,246533,11.4824,67637.2,11.4964,45136,11.4964,45136
11.493,452108,11.5062,242256,11.4759,67929.3,11.4899,43634.1,11.4899,43634.1
11.4865,444754,11.4996,240598,11.4694,68848.5,11.4834,43764.7,11.4834,43764.7
11.48,438880,11.4931,237883,11.4629,68264.1,11.4769,41938.1,11.4769,41938.1
11.4735,435285,11.4866,235749,11.4564,68325.3,11.4704,40652.6,11.4704,40652.6
11.467,430004,11.4801,232162,11.4499,68512.5,11.4639,39959.4,11.4639,39959.4
11.4605,425751,11.4736,231376,11.4434,65277.3,11.4574,39714.2,11.4574,39714.2
11.454,419819,11.4671,229465,11.4369,67532.8,11.4509,38373.1,11.4509,38373.1
11.4475,417139,11.4606,226114,11.4304,66805.7,11.4444,39488.3,11.4444,39488.3
11.441,413304,11.4541,224082,11.4239,67315.8,11.4379,38683,11.4379,38683
11.4344,411126,11.4476,223433,11.4174,68239.8,11.4314,36429.1,11.4314,36429.1
11.4279,406479,11.4411,221711,11.4109,66354.1,11.4249,36243.1,11.4249,36243.1
11.4214,403935,11.4346,219391,11.4044,68732.5,11.4184,33824.6,11.4184,33824.6
11.4149,399469,11.4281,218585,11.3978,68181.8,11.4118,35793,11.4118,35793
11.4084,398166,11.4216,216729,11.3913,68841.9,11.4053,34599.4,11.4053,34599.4
11.4019,395419,11.4151,214313,11.3848,68128.9,11.3988,34302.6,11.3988,34302.6
11.3954,392110,11.4086,214527,11.3783,66719.3,11.3923,33628.8,11.3923,33628.8
11.3889,390132,11.402,211546,11.3718,68940.3,11.3858,31974.4,11.3858,31974.4
11.3824,386556,11.3955,212453,11.3653,70444.1,11.3793,31413.9,11.3793,31413.9
11.3759,385268,11.389,210048,11.3588,69492.7,11.3728,32758.2,11.3728,32758.2
11.3694,383078,11.3825,207363,11.3523,68420.4,11.3663,32672.3,11.3663,32672.3
11.3629,379515,11.376,206967,11.3458,68376.1,11.3598,31500,11.3598,31500
11.3564,376908,11.3695,204511,11.3393,68339.1,11.3533,31085,11.3533,31085
11.3499,375978,11.363,204383,11.3328,67841.7,11.3468,29464.6,11.3468,29464.6
11.3434,373675,11.3565,202017,11.3263,68612.1,11.3403,31526.8,11.3403,31526.8
11.3368,373339,11.35,201046,11.3198,68259.6,11.3338,29145.8,11.3338,29145.8
11.3303,370354,11.3435,201682,11.3133,69876,11.3273,29586.6,11.3273,29586.6
11.3238,367482,11.337,199419,11.3068,69377.6,11.3207,30050.5,11.3207,30050.5
11.3173,365866,11.3305,200487,11.3002,68621.5,11.3142,27229.9,11.3142,27229.9
11.3108,364769,11.324,199324,11.2937,68556.2,11.3077,27410.2,11.3077,27410.2
11.3043,365609,11.3175,199478,11.2872,69277.7,11.3012,28630.6,11.3012,28630.6
11.2978,360674,11.311,195606,11.2807,69411.1,11.2947,28925.6,11.2947,28925.6
11.2913,360494,11.3044,195268,11.2742,69855.6,11.2882,26631.6,11.2882,26631.6
11.2848,357119,11.2979,196608,11.2677,69795.1,11.2817,28050.7,11.2817,28050.7
11.2783,355982,11.2914,194625,11.2612,69010.3,11.2752,25521.5,11.2752,25521.5
11.2718,355794,11.2849,194485,11.2547,69484.8,11.2687,26152.8,11.2687,26152.8
11.2653,354795,11.2784,191668,11.2482,71308.5,11.2622,25473.6,11.2622,25473.6
