PPM_6,mag_6,PPM_35,mag_35,PPM_78,mag_78,PPM_97,mag_97
11.506,467656,11.4987,166599,11.4987,100288,11.4971,49042.3
11.4995,458479,11.4922,162602,11.4922,97661.2,11.4906,47253.3
11.493,452108,11.4857,158828,11.4857,96029.3,11.4841,45314.9
11.4865,444754,11.4792,156645,11.4792,93612.6,11.4776,45272.5
11.48,438880,11.4727,154841,11.4727,91827.6,11.471,42988.5
11.4735,435285,11.4662,152841,11.4662,88210.5,11.4645,41816.4
11.467,430004,11.4597,151050,11.4597,90501.3,11.458,42291.6
11.4605,425751,11.4532,149039,11.4532,87591.1,11.4515,40961.5
11.454,419819,11.4466,146680,11.4466,87647.6,11.445,39990.8
11.4475,417139,11.4401,145810,11.4401,85707.8,11.4385,38986.3
11.441,413304,11.4336,143965,11.4336,85774.2,11.432,38669.7
11.4344,411126,11.4271,143075,11.4271,84212.6,11.4255,38197.3
11.4279,406479,11.4206,143340,11.4206,83673.1,11.419,37061.7
11.4214,403935,11.4141,140647,11.4141,81634.2,11.4125,36588.9
11.4149,399469,11.4076,139554,11.4076,81012.8,11.406,35799.4
11.4084,398166,11.4011,137488,11.4011,81079.7,11.3995,35277.8
11.4019,395419,11.3946,135062,11.3946,79803.1,11.393,34989.8
11.3954,392110,11.3881,135386,11.3881,77931.5,11.3865,35580.4
11.3889,390132,11.3816,135779,11.3816,80188.9,11.38,33529.3
11.3824,386556,11.3751,133329,11.3751,77016,11.3734,34567
11.3759,385268,11.3686,132731,11.3686,79701.2,11.3669,33908.8
11.3694,383078,11.3621,133694,11.3621,77535.7,11.3604,33903.6
11.3629,379515,11.3556,131583,11.3556,76698.1,11.3539,32246.4
11.3564,376908,11.349,128943,11.349,76995.2,11.3474,34565.4
11.3499,375978,11.3425,129315,11.3425,77473.2,11.3409,31262.5
11.3434,373675,11.336,128768,11.336,74825.3,11.3344,30998.2
11.3368,373339,11.3295,128343,11.3295,74938.8,11.3279,31507
11.3303,370354,11.323,127180,11.323,73768.1,11.3214,29756.7
11.3238,367482,11.3165,125293,11.3165,73323,11.3149,31392.9
11.3173,365866,11.31,126878,11.31,74444.8,11.3084,30178.2
11.3108,364769,11.3035,125690,11.3035,71356.2,11.3019,31570.2
11.3043,365609,11.297,124483,11.297,72997.4,11.2954,30176.3
11.2978,360674,11.2905,124278,11.2905,71270.7,11.2889,30941.5
11.2913,360494,11.284,125693,11.284,70246.7,11.2824,30262.9
11.2848,357119,11.2775,121720,11.2775,71818.1,11.2758,27048.3
11.2783,355982,11.271,122459,11.271,72694.9,11.2693,29446.9
11.2718,355794,11.2645,121822,11.2645,70097.1,11.2628,29011.6
11.2653,354795,11.258,121709,11.258,69683.8,11.2563,28859.2
11.2588,352889,11.2514,121291,11.2514,70150.6,11.2498,29578.4
11.2523,352194,11.2449,120093,11.2449,69625.7,11.2433,28216.8
11.2458,348142,11.2384,119488,11.2384,67757.4,11.2368,29125.3
11.2392,348867,11.2319,118205,11.2319,69542.1,11.2303,27467.8
11.2327,347519,11.2254,119245,11.2254,67342.4,11.2238,28033.1
11.2262,345149,11.2189,117532,11.2189,66710,11.2173,27867.4
11.2197,343725,11.2124,117102,11.2124,66049,11.2108,25307.5
11.2132,342870,11.2059,117573,11.2059,68191.8,11.2043,26372.8
11.2067,342600,11.1994,115661,11.1994,65814.2,11.1978,26387.1
11.2002,340358,11.1929,117376,11.1929,67154.4,11.1913,27516.5
11.1937,340207,11.1864,114375,11.1864,67663.8,11.1848,25745.7
11.1872,337804,11.1799,116593,11.1799,67115.5,11.1782,26053.6
11.1807,337425,11.1734,112518,11.1734,65914.3,11.1717,24778.6
11.1742,337793,11.1669,114593,11.1669,65618.4,11.1652,25710.4
11.1677,334922,11.1603,114040,11.1603,65706,11.1587,25357.9
11.1612,333593,11.1538,114773,11.1538,64939.2,11.1522,25851.9
11.1547,333411,11.1473,114298,11.1473,66045.7,11.1457,24591.9
11.1481,332090,11.1408,112059,11.1408,65182.3,11.1392,24868
11.1416,332659,11.1343,113879,11.1343,64019.6,11.1327,25025.6
