PPM_35,mag_35,PPM_78,mag_78,PPM_97,mag_97,PPM_144,mag_144,PPM_288,mag_288
11.4973,185439,11.4566,21388.9,11.4851,4890680,11.5623,601366,11.4891,376451
11.4908,179321,11.4501,19312.8,11.4786,4638200,11.5558,572158,11.4826,376730
11.4842,174011,11.4436,18703.2,11.472,4433620,11.5493,544092,11.4761,376915
11.4777,170447,11.4371,17373.6,11.4655,4262680,11.5428,517162,11.4696,377160
11.4712,165818,11.4306,18068.6,11.459,4115860,11.5363,494188,11.4631,376077
11.4647,162182,11.4241,18294.4,11.4525,3988020,11.5298,472689,11.4566,376337
11.4582,159304,11.4175,18341.3,11.446,3875440,11.5233,452181,11.4501,374258
11.4517,156421,11.411,18607.1,11.4395,3771580,11.5168,433210,11.4436,374104
11.4452,153810,11.4045,17403.2,11.433,3678190,11.5103,416722,11.4371,375816
11.4387,152128,11.398,18641.7,11.4265,3594730,11.5038,403173,11.4306,374444
11.4322,148479,11.3915,17674,11.42,3516970,11.4973,389868,11.4241,371805
11.4257,146907,11.385,18903.1,11.4135,3444410,11.4908,376423,11.4175,372287
11.4192,145075,11.3785,16440.7,11.407,3379980,11.4842,366843,11.411,372737
11.4127,143223,11.372,16584.1,11.4005,3316740,11.4777,356838,11.4045,372391
11.4062,141583,11.3655,17074.5,11.394,3259550,11.4712,347982,11.398,372752
11.3997,138690,11.359,16192.9,11.3875,3204300,11.4647,342500,11.3915,368618
11.3931,138055,11.3525,17697.7,11.3809,3154940,11.4582,335741,11.385,370591
11.3866,135556,11.346,15000.9,11.3744,3106940,11.4517,332159,11.3785,369776
11.3801,135907,11.3395,16846.8,11.3679,3061200,11.4452,329667,11.372,369496
11.3736,133276,11.333,16763.5,11.3614,3017440,11.4387,326876,11.3655,367924
11.3671,131889,11.3265,14262.7,11.3549,2976910,11.4322,327103,11.359,367424
11.3606,130799,11.3199,14314.1,11.3484,2939620,11.4257,325828,11.3525,365359
11.3541,129019,11.3134,15808,11.3419,2901540,11.4192,328309,11.346,365901
11.3476,128213,11.3069,15269.1,11.3354,2867300,11.4127,329319,11.3395,365110
11.3411,126240,11.3004,12311.8,11.3289,2833250,11.4062,330984,11.333,364328
11.3346,125850,11.2939,14226.1,11.3224,2800600,11.3997,334743,11.3265,362921
11.3281,123781,11.2874,14336.7,11.3159,2767830,11.3931,339276,11.3199,362662
11.3216,122395,11.2809,13580.2,11.3094,2739030,11.3866,343123,11.3134,363490
11.3151,121622,11.2744,13174.1,11.3029,2708500,11.3801,345053,11.3069,361840
11.3086,121386,11.2679,11485.3,11.2964,2681380,11.3736,351891,11.3004,362159
11.3021,120708,11.2614,13149.4,11.2899,2655140,11.3671,356962,11.2939,361585
11.2955,118651,11.2549,12776.8,11.2833,2627980,11.3606,362767,11.2874,359234
11.289,118199,11.2484,13270.8,11.2768,2605520,11.3541,370060,11.2809,359000
11.2825,116252,11.2419,12622.7,11.2703,2579520,11.3476,373276,11.2744,358862
11.276,114894,11.2354,11744.5,11.2638,2554920,11.3411,378790,11.2679,359492
11.2695,115206,11.2288,12163.9,11.2573,2533710,11.3346,386647,11.2614,359336
11.263,113375,11.2223,11610.2,11.2508,2512050,11.3281,393015,11.2549,359131
11.2565,112882,11.2158,12640,11.2443,2489850,11.3216,400172,11.2484,357511
11.25,111894,11.2093,11142,11.2378,2468860,11.3151,408073,11.2419,356732
11.2435,111134,11.2028,9295.59,11.2313,2448050,11.3086,414325,11.2354,356246
11.237,110344,11.1963,12361,11.2248,2431200,11.3021,421496,11.2288,355896
11.2305,109832,11.1898,9929.83,11.2183,2410450,11.2955,426518,11.2223,356416
11.224,108851,11.1833,11240.5,11.2118,2391810,11.289,434201,11.2158,355770
11.2175,108042,11.1768,11894.2,11.2053,2375040,11.2825,440594,11.2093,355726
11.211,108424,11.1703,11139.6,11.1988,2356540,11.276,448271,11.2028,353386
11.2044,107356,11.1638,10339.9,11.1922,2339960,11.2695,457399,11.1963,354816
11.1979,105321,11.1573,9982.52,11.1857,2323120,11.263,463916,11.1898,352060
11.1914,104575,11.1508,9424.9,11.1792,2306680,11.2565,471474,11.1833,353139
11.1849,105578,11.1443,8880.47,11.1727,2290110,11.25,477257,11.1768,351953
11.1784,104036,11.1378,9024.86,11.1662,2275500,11.2435,484918,11.1703,352255
11.1719,103022,11.1312,9658.38,11.1597,2262210,11.237,491593,11.1638,353472
11.1654,102067,11.1247,8218.27,11.1532,2246180,11.2305,498047,11.1573,351356
11.1589,101870,11.1182,9729.18,11.1467,2232440,11.224,505615,11.1508,351089
11.1524,101901,11.1117,7968.13,11.1402,2219700,11.2175,512467,11.1443,352118
11.1459,100650,11.1052,8903.66,11.1337,2205120,11.211,519214,11.1378,350882
11.1394,100681,11.0987,7595.8,11.1272,2191960,11.2044,526876,11.1312,348176
11.1329,99797.2,11.0922,8614.93,11.1207,2178400,11.1979,532835,11.1247,349030
11.1264,99339.7,11.0857,7489.7,11.1142,2165620,11.1914,539903,11.1182,350527
11.1199,97482.4,11.0792,6884.51,11.1077,2153550,11.1849,547135,11.1117,347360
11.1133,98223.1,11.0727,8528.02,11.1011,2142210,11.1784,552378,11.1052,348217
11.1068,96903.7,11.0662,7570.96,11.0946,2129990,11.1719,560910,11.0987,348872
11.1003,96653.5,11.0597,7818.12,11.0881,2120140,11.1654,565581,11.0922,347270
11.0938,96401.9,11.0532,9015.06,11.0816,2106540,11.1589,573489,11.0857,347622
11.0873,95895.4,11.0467,7376.45,11.0751,2098110,11.1524,579490,11.0792,347535
11.0808,95068.7,11.0401,7417.28,11.0686,2085610,11.1459,585649,11.0727,345376
11.0743,95422.2,11.0336,8176.26,11.0621,2077120,11.1394,594341,11.0662,344724
11.0678,94554.1,11.0271,7844.33,11.0556,2067510,11.1329,597964,11.0597,345437
11.0613,92531.9,11.0206,6092.06,11.0491,2057330,11.1264,605802,11.0532,344491
11.0548,93909.3,11.0141,8804.64,11.0426,2047630,11.1199,612028,11.0467,344400
11.0483,92359.6,11.0076,5058.29,11.0361,2037420,11.1133,615590,11.0401,344824
11.0418,91836.1,11.0011,7634.55,11.0296,2027240,11.1068,623555,11.0336,342842
11.0353,90400.3,10.9946,7668.42,11.0231,2019200,11.1003,631686,11.0271,342391
11.0288,89923.8,10.9881,8309.54,11.0166,2010020,11.0938,637633,11.0206,344531
11.0223,90925,10.9816,7245.96,11.0101,2003100,11.0873,642911,11.0141,341896
11.0157,89513.9,10.9751,5803.26,11.0035,1991690,11.0808,650320,11.0076,342166
11.0092,89948.6,10.9686,5882.72,10.997,1984230,11.0743,655502,11.0011,342574
11.0027,90079.6,10.9621,5225.94,10.9905,1975900,11.0678,660971,10.9946,338667
10.9962,88588.5,10.9556,6816.7,10.984,1966840,11.0613,666673,10.9881,341226
10.9897,88012.7,10.949,6662.73,10.9775,1961440,11.0548,673418,10.9816,339342
10.9832,87871.1,10.9425,5292.34,10.971,1951770,11.0483,680240,10.9751,339776
10.9767,88190.7,10.936,6268.87,10.9645,1944870,11.0418,684951,10.9686,340570
10.9702,86170.9,10.9295,6077.76,10.958,1938150,11.0353,689069,10.9621,338649
10.9637,86903.5,10.923,6236.03,10.9515,1927750,11.0288,696784,10.9556,338450
10.9572,87020,10.9165,4669.63,10.945,1924460,11.0223,702454,10.949,337528
10.9507,87225.1,10.91,7738.43,10.9385,1916380,11.0157,707271,10.9425,338020
10.9442,85283.2,10.9035,5755.15,10.932,1909490,11.0092,713470,10.936,337500
10.9377,86036.6,10.897,4768.82,10.9255,1902550,11.0027,718338,10.9295,335801
10.9312,83561.6,10.8905,6115.99,10.919,1896090,10.9962,724266,10.923,336594
10.9246,83748.1,10.884,5962.61,10.9124,1891130,10.9897,730147,10.9165,337062
10.9181,83739.2,10.8775,4914.59,10.9059,1882760,10.9832,735162,10.91,335784
10.9116,83241.3,10.871,4547.99,10.8994,1879460,10.9767,740048,10.9035,335701
10.9051,83010.8,10.8645,5750.64,10.8929,1874240,10.9702,746106,10.897,336102
10.8986,82981.4,10.858,4258.25,10.8864,1865830,10.9637,752260,10.8905,334719
10.8921,82776.2,10.8514,4007.73,10.8799,1860470,10.9572,755998,10.884,333444
10.8856,82438.7,10.8449,5167.39,10.8734,1855330,10.9507,763649,10.8775,333491
10.8791,82043.5,10.8384,5922.82,10.8669,1850910,10.9442,768456,10.871,333767
10.8726,81880.9,10.8319,6121.17,10.8604,1843610,10.9377,774401,10.8645,332386
10.8661,80736.8,10.8254,4848.97,10.8539,1839000,10.9312,777982,10.858,331121
10.8596,81115.7,10.8189,6593.41,10.8474,1834150,10.9246,783105,10.8514,333189
10.8531,80111.7,10.8124,4048.93,10.8409,1827470,10.9181,787918,10.8449,331320
10.8466,79367.4,10.8059,3604.17,10.8344,1823890,10.9116,792554,10.8384,332226
10.8401,78812.1,10.7994,4195.09,10.8279,1819820,10.9051,799268,10.8319,332524
10.8336,80202.8,10.7929,4690,10.8214,1812960,10.8986,803431,10.8254,331471
10.827,79482.3,10.7864,6243.12,10.8148,1810220,10.8921,807962,10.8189,331516
10.8205,79305.8,10.7799,4166.87,10.8083,1803820,10.8856,814161,10.8124,329587
10.814,78842.4,10.7734,4733.79,10.8018,1798390,10.8791,818541,10.8059,330561
10.8075,78948.6,10.7669,4463,10.7953,1794560,10.8726,823736,10.7994,327399
10.801,76871.9,10.7603,3319.36,10.7888,1788340,10.8661,828363,10.7929,327979
10.7945,77223.6,10.7538,2928.43,10.7823,1786170,10.8596,832752,10.7864,328138
10.788,77424.7,10.7473,3219.4,10.7758,1783500,10.8531,836007,10.7799,328345
10.7815,76896,10.7408,4112.47,10.7693,1779090,10.8466,841919,10.7734,327730
10.775,76635.4,10.7343,4044.34,10.7628,1774240,10.8401,846014,10.7669,327179
10.7685,76862.7,10.7278,2951.33,10.7563,1769180,10.8336,851826,10.7603,325748
10.762,76600.1,10.7213,3981.92,10.7498,1767020,10.827,858098,10.7538,327121
10.7555,76048,10.7148,3673.88,10.7433,1763500,10.8205,861306,10.7473,325125
10.749,75318.4,10.7083,4011.32,10.7368,1758340,10.814,866306,10.7408,324629
10.7425,75637.7,10.7018,3415.03,10.7303,1755740,10.8075,868908,10.7343,326029
10.7359,76075.5,10.6953,3401.54,10.7237,1751410,10.801,874508,10.7278,323998
10.7294,76144.6,10.6888,3690.09,10.7172,1746740,10.7945,880453,10.7213,324488
10.7229,75019.7,10.6823,2543.51,10.7107,1743670,10.788,884288,10.7148,323423
10.7164,73936.8,10.6758,3560.09,10.7042,1740590,10.7815,889415,10.7083,323635
10.7099,73131.8,10.6693,3327.97,10.6977,1736880,10.775,893210,10.7018,323061
10.7034,73660.8,10.6627,4620.8,10.6912,1733290,10.7685,898716,10.6953,321866
10.6969,73700.7,10.6562,3091.26,10.6847,1730490,10.762,901766,10.6888,322436
10.6904,73610.5,10.6497,4028.22,10.6782,1727160,10.7555,907719,10.6823,323853
10.6839,73937.5,10.6432,2582.12,10.6717,1723810,10.749,911572,10.6758,321440
10.6774,72792.2,10.6367,3187.89,10.6652,1721470,10.7425,915042,10.6693,320821
10.6709,72129.1,10.6302,3821.34,10.6587,1717490,10.7359,919923,10.6627,321031
10.6644,73642.4,10.6237,4013.99,10.6522,1716700,10.7294,926392,10.6562,320911
10.6579,72054.4,10.6172,3880.96,10.6457,1710290,10.7229,928110,10.6497,318899
10.6514,71838.3,10.6107,4361.91,10.6392,1708710,10.7164,932412,10.6432,319228
10.6449,71273.3,10.6042,3022.84,10.6327,1707890,10.7099,936892,10.6367,318974
10.6383,72221.6,10.5977,3963.23,10.6261,1703220,10.7034,942250,10.6302,318367
10.6318,70513.5,10.5912,2489.3,10.6196,1698740,10.6969,945244,10.6237,318398
10.6253,72038.2,10.5847,1795.65,10.6131,1698080,10.6904,949777,10.6172,317531
10.6188,70015.8,10.5782,3505.96,10.6066,1694870,10.6839,955120,10.6107,317967
10.6123,70014.5,10.5716,1891.65,10.6001,1693000,10.6774,957822,10.6042,318086
10.6058,70007.5,10.5651,3384.3,10.5936,1691050,10.6709,962852,10.5977,317638
10.5993,71805.1,10.5586,4980.11,10.5871,1688420,10.6644,966768,10.5912,315827
10.5928,70587.4,10.5521,3389.33,10.5806,1686380,10.6579,968572,10.5847,316814
10.5863,70071.2,10.5456,3898.72,10.5741,1682270,10.6514,975952,10.5782,317011
10.5798,69847.9,10.5391,3366.14,10.5676,1680710,10.6449,979390,10.5716,314893
10.5733,69437.9,10.5326,3866.83,10.5611,1679080,10.6383,982299,10.5651,314404
10.5668,68888.5,10.5261,3779.62,10.5546,1676900,10.6318,987798,10.5586,314667
10.5603,69388.8,10.5196,3924.93,10.5481,1673230,10.6253,990462,10.5521,314869
10.5538,68772.4,10.5131,1544.06,10.5416,1671310,10.6188,995390,10.5456,312741
10.5472,68106.7,10.5066,2732.05,10.535,1669380,10.6123,997734,10.5391,314335
10.5407,68967.7,10.5001,2643.05,10.5285,1668060,10.6058,1002350,10.5326,314176
10.5342,67907.3,10.4936,2417.36,10.522,1666860,10.5993,1006310,10.5261,312630
10.5277,68956.4,10.4871,2617.31,10.5155,1664390,10.5928,1009800,10.5196,312316
10.5212,67541.3,10.4806,3635.26,10.509,1662310,10.5863,1015160,10.5131,312896
10.5147,67496.6,10.474,2829.15,10.5025,1660450,10.5798,1017310,10.5066,312536
10.5082,67921.4,10.4675,2782.27,10.496,1657440,10.5733,1021960,10.5001,312146
10.5017,66805.5,10.461,2881.02,10.4895,1657540,10.5668,1026040,10.4936,311182
10.4952,66910.1,10.4545,2883.72,10.483,1653910,10.5603,1031360,10.4871,311182
10.4887,67573.6,10.448,2483.36,10.4765,1654930,10.5538,1030360,10.4806,312487
10.4822,66424.3,10.4415,2262.99,10.47,1649750,10.5472,1036940,10.474,308763
10.4757,66803.5,10.435,1748.49,10.4635,1648480,10.5407,1040150,10.4675,309625
10.4692,66367.7,10.4285,2550.02,10.457,1647220,10.5342,1045420,10.461,311679
10.4627,66267.2,10.422,3227.87,10.4505,1645870,10.5277,1048790,10.4545,309590
10.4561,65823.2,10.4155,2523.79,10.4439,1644260,10.5212,1052440,10.448,307614
10.4496,65982.6,10.409,1504.52,10.4374,1642380,10.5147,1054440,10.4415,309071
10.4431,66319.4,10.4025,3594.58,10.4309,1640370,10.5082,1060170,10.435,306967
10.4366,65077.1,10.396,1170.33,10.4244,1639700,10.5017,1062780,10.4285,307678
10.4301,65527.9,10.3895,3527.57,10.4179,1638180,10.4952,1066330,10.422,307722
10.4236,65539.4,10.3829,3297.98,10.4114,1635810,10.4887,1071180,10.4155,306981
10.4171,64921.4,10.3764,3246.77,10.4049,1635260,10.4822,1073980,10.409,307215
10.4106,65894.8,10.3699,4468.82,10.3984,1632460,10.4757,1076830,10.4025,306312
10.4041,64490.9,10.3634,1125.86,10.3919,1631610,10.4692,1081240,10.396,306581
10.3976,64813.5,10.3569,5669.37,10.3854,1631010,10.4627,1083100,10.3895,307494
10.3911,64198.7,10.3504,2066.93,10.3789,1630480,10.4561,1085900,10.3829,304943
10.3846,64226.8,10.3439,2071.77,10.3724,1628120,10.4496,1091890,10.3764,302424
10.3781,64708.5,10.3374,3465.36,10.3659,1626190,10.4431,1095390,10.3699,304310
10.3716,64518.3,10.3309,1033.1,10.3594,1624540,10.4366,1097660,10.3634,304770
10.3651,63672.3,10.3244,3161.06,10.3529,1624290,10.4301,1100390,10.3569,303668
10.3585,62201.8,10.3179,1008.52,10.3463,1623770,10.4236,1105270,10.3504,300528
10.352,63666.4,10.3114,5069.87,10.3398,1622560,10.4171,1106720,10.3439,301907
10.3455,63155.6,10.3049,1242.92,10.3333,1620550,10.4106,1110640,10.3374,301458
10.339,63348.1,10.2984,2626.65,10.3268,1619120,10.4041,1114360,10.3309,301590
10.3325,63843.1,10.2918,1413.54,10.3203,1618420,10.3976,1119140,10.3244,303367
10.326,64010.3,10.2853,3458.89,10.3138,1617230,10.3911,1120880,10.3179,302512
10.3195,62976.9,10.2788,3193.52,10.3073,1614010,10.3846,1125450,10.3114,300604
10.313,63183.1,10.2723,1911.97,10.3008,1615170,10.3781,1128040,10.3049,300721
10.3065,63025.1,10.2658,2625.81,10.2943,1613910,10.3716,1129670,10.2984,301576
10.3,61921.2,10.2593,883.853,10.2878,1612000,10.3651,1134030,10.2918,301348
10.2935,61449.2,10.2528,3302.06,10.2813,1611610,10.3585,1137690,10.2853,301005
10.287,62194.9,10.2463,2465.63,10.2748,1610550,10.352,1140400,10.2788,298903
10.2805,60828.7,10.2398,2813.41,10.2683,1610270,10.3455,1144790,10.2723,299255
10.274,62428.2,10.2333,919.037,10.2618,1607840,10.339,1146880,10.2658,299475
10.2674,62167.6,10.2268,1658.17,10.2552,1608760,10.3325,1150470,10.2593,298503
10.2609,62323.5,10.2203,2963.98,10.2487,1607750,10.326,1154440,10.2528,299254
10.2544,61531.4,10.2138,3062.25,10.2422,1607390,10.3195,1156350,10.2463,297656
10.2479,62041.8,10.2073,2881.11,10.2357,1606150,10.313,1159970,10.2398,296209
